team,size,age,foreigners,value
Bayern Munich,33,26.6,19,€562.55m
Borussia Dortmund,31,25.6,18,€390.65m
Bayer 04 Leverkusen,39,24.3,21,€265.03m
FC Schalke 04,39,25.3,22,€217.25m
VfL Wolfsburg,43,25,22,€203.08m
RB Leipzig,33,24,18,€176.33m
Borussia Mönchengladbach,33,24.9,17,€162.18m
TSG 1899 Hoffenheim,33,25,15,€138.63m
1.FC Köln,30,25.8,15,€116.15m
1.FSV Mainz 05,39,24.8,23,€96.73m
Hertha BSC,33,25.4,16,€96.53m
SV Werder Bremen,41,26,22,€89.45m
SC Freiburg,36,25.5,14,€86.73m
Hamburger SV,38,25,21,€80.48m
Eintracht Frankfurt,35,24.6,22,€72.30m
FC Augsburg,37,26.8,21,€65.85m
FC Ingolstadt 04,32,25.3,15,€38.63m
SV Darmstadt 98,39,27.2,17,€25.98m
