team,size,age,foreigners,value
Bayern Munich,24,27.1,12,€959.95m
Borussia Dortmund,25,26.5,13,€484.40m
RB Leipzig,31,23.4,21,€434.40m
Bayer 04 Leverkusen,27,26.4,21,€422.75m
Eintracht Frankfurt,29,25.4,19,€390.05m
VfB Stuttgart,30,24.7,15,€341.40m
VfL Wolfsburg,33,25.3,24,€249.60m
TSG 1899 Hoffenheim,29,25.3,20,€197.45m
SV Werder Bremen,30,25.2,18,€191.00m
SC Freiburg,25,27.9,9,€171.20m
Borussia Mönchengladbach,28,25.8,15,€149.80m
FC Augsburg,28,25.5,19,€146.38m
Hamburger SV,31,24.7,23,€145.98m
1.FSV Mainz 05,31,27.2,15,€142.80m
1.FC Köln,30,25.7,12,€136.45m
1.FC Union Berlin,26,26.9,17,€122.65m
FC St. Pauli,30,26.1,25,€66.35m
1.FC Heidenheim 1846,29,26.2,7,€63.55m
