team,size,age,foreigners,value
Bayern Munich,38,24.2,21,€777.33m
Borussia Dortmund,37,25,20,€654.05m
RB Leipzig,38,23.4,26,€570.48m
Bayer 04 Leverkusen,29,25.7,18,€398.95m
Borussia Mönchengladbach,34,26.3,17,€254.70m
TSG 1899 Hoffenheim,37,26.8,25,€226.05m
FC Schalke 04,33,24.6,20,€221.58m
Hertha BSC,42,24.7,23,€217.20m
Eintracht Frankfurt,35,27,24,€208.98m
VfL Wolfsburg,38,25.2,24,€207.60m
SV Werder Bremen,36,26.6,18,€135.13m
SC Freiburg,30,26.3,10,€122.65m
1.FSV Mainz 05,35,24.4,19,€121.58m
FC Augsburg,37,26,19,€112.95m
1.FC Köln,35,25.7,15,€98.48m
Fortuna Düsseldorf,37,26.7,17,€71.78m
1.FC Union Berlin,34,26.7,12,€41.20m
SC Paderborn 07,32,25.9,15,€28.90m
