club,years_active
Bayern Munich,60
Borussia Dortmund,58
Werder Bremen,60
VfB Stuttgart,58
Borussia Mönchengladbach,57
Hamburger SV,55
Eintracht Frankfurt f,56
Schalke 04,54
Bayer Leverkusen,46
1. FC Köln,52
1. FC Kaiserslautern e,44
Hertha BSC,40
VfL Bochum,38
VfL Wolfsburg,28
1. FC Nürnberg,33
Hannover 96,30
MSV Duisburg,28
SC Freiburg,25
Fortuna Düsseldorf,25
Karlsruher SC,24
Eintracht Braunschweig,21
1860 Munich,20
Mainz 05,19
TSG Hoffenheim,17
Arminia Bielefeld g,19
RB Leipzig,9
FC Augsburg,14
KFC Uerdingen,14
Hansa Rostock,12
FC St. Pauli,9
Waldhof Mannheim,7
Union Berlin,6
Kickers Offenbach,7
Rot-Weiss Essen,7
Energie Cottbus,6
Alemannia Aachen,4
Wattenscheid 09,4
1. FC Saarbrücken,5
Dynamo Dresden h,4
Rot-Weiß Oberhausen,4
Darmstadt 98,5
Wuppertaler SV,3
Borussia Neunkirchen,3
FC 08 Homburg,3
SpVgg Unterhaching,2
Stuttgarter Kickers,2
FC Ingolstadt,2
1. FC Heidenheim,1
SC Paderborn,2
Tennis Borussia Berlin,2
Greuther Fürth,2
SSV Ulm,1
SC Fortuna Köln,1
Preußen Münster,1
Holstein Kiel,0
Blau-Weiß 1890 Berlin,1
Tasmania 1900 Berlin,1
