team,size,age,foreigners,value
Bayern Munich,39,25.2,23,€965.15m
Bayer 04 Leverkusen,32,24.9,23,€658.35m
RB Leipzig,32,25.2,22,€545.40m
Borussia Dortmund,36,25.6,17,€494.80m
VfB Stuttgart,38,24.4,19,€346.63m
Eintracht Frankfurt,46,24.7,28,€326.65m
VfL Wolfsburg,33,25,20,€206.45m
SC Freiburg,34,26.3,13,€180.35m
TSG 1899 Hoffenheim,34,26.1,14,€176.00m
Borussia Mönchengladbach,33,26,18,€165.23m
1.FC Union Berlin,35,27.5,21,€160.95m
1.FSV Mainz 05,34,26.5,13,€142.88m
FC Augsburg,38,25.6,24,€140.80m
SV Werder Bremen,35,26.4,19,€134.93m
1.FC Köln,33,26.1,11,€81.45m
1.FC Heidenheim 1846,28,26.8,5,€66.45m
VfL Bochum,34,28.3,15,€64.53m
SV Darmstadt 98,34,27,14,€38.70m
