team,size,age,foreigners,value
Bayern Munich,45,24.4,22,€858.23m
Borussia Dortmund,32,25.5,17,€628.40m
RB Leipzig,32,24.1,23,€574.95m
Bayer 04 Leverkusen,33,25.6,22,€373.25m
Borussia Mönchengladbach,33,26.2,19,€300.75m
Eintracht Frankfurt,36,26.2,24,€269.15m
VfL Wolfsburg,30,26.4,20,€256.83m
Hertha BSC,38,24.9,22,€228.88m
TSG 1899 Hoffenheim,37,25.4,26,€228.15m
VfB Stuttgart,32,24.4,17,€189.25m
1.FSV Mainz 05,36,25.4,18,€163.30m
SC Freiburg,30,25.7,13,€139.10m
FC Schalke 04,45,25.3,27,€123.05m
1.FC Köln,36,25.3,19,€118.20m
SV Werder Bremen,33,25.7,17,€111.98m
FC Augsburg,31,26.4,21,€93.05m
1.FC Union Berlin,33,26.4,10,€82.05m
Arminia Bielefeld,33,25.4,15,€56.73m
