team,size,age,foreigners,value
Bayern Munich,38,25.2,19,€811.85m
Borussia Dortmund,35,25.5,21,€574.20m
RB Leipzig,28,24.5,19,€373.30m
Bayer 04 Leverkusen,27,25.7,14,€357.35m
FC Schalke 04,29,26.1,18,€274.35m
TSG 1899 Hoffenheim,36,24.6,14,€212.75m
Borussia Mönchengladbach,35,25.1,19,€193.25m
VfL Wolfsburg,33,24.8,20,€143.60m
VfB Stuttgart,34,25.2,18,€134.70m
Hertha BSC,32,25.4,16,€131.45m
Eintracht Frankfurt,36,25.5,24,€126.15m
SV Werder Bremen,33,26,19,€107.15m
SC Freiburg,36,26,14,€100.60m
FC Augsburg,33,26.2,18,€100.45m
1.FSV Mainz 05,33,25.9,19,€98.35m
Hannover 96,30,26.4,12,€92.95m
1.FC Köln,38,24.9,19,€91.73m
Hamburger SV,34,25,17,€62.40m
