team,size,age,foreigners,value
Bayern Munich,35,25.7,23,€948.95m
Borussia Dortmund,37,25.1,19,€567.55m
RB Leipzig,29,26,19,€486.40m
Bayer 04 Leverkusen,35,24.8,25,€452.50m
Eintracht Frankfurt,36,25.6,22,€324.55m
Borussia Mönchengladbach,35,25.9,15,€241.68m
VfL Wolfsburg,33,25.1,20,€238.30m
SC Freiburg,29,26.5,11,€200.95m
TSG 1899 Hoffenheim,37,26.2,22,€178.80m
1.FC Union Berlin,36,27.4,18,€157.95m
VfB Stuttgart,39,23.7,22,€151.05m
1.FSV Mainz 05,35,25.2,18,€135.90m
FC Augsburg,42,25.6,25,€132.23m
1.FC Köln,39,25.4,16,€115.65m
Hertha BSC,41,25.8,24,€94.00m
SV Werder Bremen,33,25.2,11,€89.50m
FC Schalke 04,43,26.9,22,€87.78m
VfL Bochum,32,28.3,18,€53.70m
