club,years_active
Bayern Munich,57
Borussia Dortmund,55
Werder Bremen,58
VfB Stuttgart,55
Borussia Mönchengladbach,54
Hamburger SV,55
Eintracht Frankfurt f,53
Schalke 04,53
Bayer Leverkusen,43
1. FC Köln,49
1. FC Kaiserslautern e,44
Hertha BSC,38
VfL Bochum,35
VfL Wolfsburg,25
1. FC Nürnberg,33
Hannover 96,30
MSV Duisburg,28
SC Freiburg,22
Fortuna Düsseldorf,25
Karlsruher SC,24
Eintracht Braunschweig,21
1860 Munich,20
Mainz 05,16
TSG Hoffenheim,14
Arminia Bielefeld g,18
RB Leipzig,6
FC Augsburg,11
KFC Uerdingen,14
Hansa Rostock,12
FC St. Pauli,9
Waldhof Mannheim,7
Union Berlin,3
Kickers Offenbach,7
Rot-Weiss Essen,7
Energie Cottbus,6
Alemannia Aachen,4
Wattenscheid 09,4
1. FC Saarbrücken,5
Dynamo Dresden h,4
Rot-Weiß Oberhausen,4
Darmstadt 98,4
Wuppertaler SV,3
Borussia Neunkirchen,3
FC 08 Homburg,3
SpVgg Unterhaching,2
Stuttgarter Kickers,2
FC Ingolstadt,2
1. FC Heidenheim,0
SC Paderborn,2
Tennis Borussia Berlin,2
Greuther Fürth,1
SSV Ulm,1
SC Fortuna Köln,1
Preußen Münster,1
Holstein Kiel,0
Blau-Weiß 1890 Berlin,1
Tasmania 1900 Berlin,1
