club,years_active
Bayern Munich,52
Borussia Dortmund,50
Werder Bremen,53
VfB Stuttgart,52
Borussia Mönchengladbach,49
Hamburger SV,53
Eintracht Frankfurt f,48
Schalke 04,48
Bayer Leverkusen,38
1. FC Köln,45
1. FC Kaiserslautern e,44
Hertha BSC,33
VfL Bochum,35
VfL Wolfsburg,20
1. FC Nürnberg,32
Hannover 96,28
MSV Duisburg,28
SC Freiburg,17
Fortuna Düsseldorf,23
Karlsruher SC,24
Eintracht Braunschweig,21
1860 Munich,20
Mainz 05,11
TSG Hoffenheim,9
Arminia Bielefeld g,17
RB Leipzig,1
FC Augsburg,6
KFC Uerdingen,14
Hansa Rostock,12
FC St. Pauli,9
Waldhof Mannheim,7
Union Berlin,1
Kickers Offenbach,7
Rot-Weiss Essen,7
Energie Cottbus,6
Alemannia Aachen,4
Wattenscheid 09,4
1. FC Saarbrücken,5
Dynamo Dresden h,4
Rot-Weiß Oberhausen,4
Darmstadt 98,3
Wuppertaler SV,3
Borussia Neunkirchen,3
FC 08 Homburg,3
SpVgg Unterhaching,2
Stuttgarter Kickers,2
FC Ingolstadt,1
1. FC Heidenheim,0
SC Paderborn,1
Tennis Borussia Berlin,2
Greuther Fürth,1
SSV Ulm,1
SC Fortuna Köln,1
Preußen Münster,1
Holstein Kiel,0
Blau-Weiß 1890 Berlin,1
Tasmania 1900 Berlin,1
