team,size,age,foreigners,value
Bayern Munich,43,24.6,22,€953.55m
Bayer 04 Leverkusen,34,25.1,25,€623.35m
RB Leipzig,37,23.9,23,€513.70m
Borussia Dortmund,43,24.1,24,€508.28m
Eintracht Frankfurt,33,24.6,24,€431.25m
VfB Stuttgart,39,24.2,18,€365.23m
VfL Wolfsburg,39,25.5,25,€296.30m
Borussia Mönchengladbach,31,25.7,17,€187.50m
TSG 1899 Hoffenheim,48,25.1,27,€187.10m
SC Freiburg,31,27.2,13,€186.20m
1.FSV Mainz 05,30,27.2,14,€175.13m
FC Augsburg,36,26,20,€158.88m
1.FC Union Berlin,31,27.9,18,€136.05m
SV Werder Bremen,33,25.9,17,€132.00m
1.FC Heidenheim 1846,31,27.2,7,€72.53m
FC St. Pauli,38,26.5,21,€65.78m
VfL Bochum,33,27,16,€57.10m
Holstein Kiel,30,26.6,12,€47.13m
